name,latitude,longitude
Akram Na Machine,28.92728,66.60431
Akro,27.72489,67.15361
Akro,27.7707,66.654
Al Jamiat Colony,30.24442,67.01608
Al Muhafiz Police Chowki,30.24539,67.02483
Ala Damb,27.60734,66.17147
Alabad,28.205,66.05739
Alai,30.8978,67.30353
Alai,30.90866,67.30266
Alam Khan,28.1981,67.47046
Alam Khan,26.94176,66.11012
Alam Khan,27.26113,64.31784
Alam Khan,29.39216,66.53841
Alam Khan,29.58333,65.98333
Alam Khan,28.0448,63.28448
Alam Khanzai,28.15408,66.07387
Alamdar But,28.2882,64.23759
Alamgul Kili,30.79583,68.36806
Alandur,26.28102,63.02418
Alandur,26.2992,63.02871
Alandur,26.36717,63.00059
Alangi,27.94905,66.26026
Alangi,27.68545,67.11587
Alangi,27.13454,65.58645
Alat,28.08333,66.11667
Albat Karez,29.13462,65.91317
Alhanda Khan Jamali,28.02142,67.96003
Alhando Khan Umrani,28.53299,68.3922
Ali,26.57241,65.66813
Ali,31.18701,67.22574
Ali Abad,26.01565,63.02342
Ali Abad,30.19192,67.02799
Ali Ahmad,27.71334,65.85917
Ali Bagh,26.14756,65.38742
Ali Bakhsh,28.38226,67.42436
Ali Bakhsh,29.93285,69.28509
Ali Bakhsh,27.5535,66.40883
Ali Bakhsh,26.74248,66.92146
Ali Bakhsh Bazar,26.21222,64.10427
Ali Bakhsh Brahui,28.43245,68.19052
Ali Bakhsh Mir Jat,28.17162,67.437
Ali Bakhsh Sakhani,28.34035,67.48581
Ali Band Kili,31.19508,68.14233
Ali Bazar,26.73691,64.12569
Ali Bazar,25.92894,63.92027
Ali Dad,26.35763,65.01666
Ali Dad Baloch,30.35033,66.60696
Ali Dasht,29.10752,66.88072
Ali Dost Kili,29.72207,65.85441
Ali Gat,31.22988,69.95538
Ali Ghis,27.36656,63.09255
Ali Gohar,28.10045,67.82976
Ali Gohar Khan Jat,28.20299,68.13417
Ali Gul Kili,30.87846,66.38514
Ali Gwaranjo,26.44461,66.06391
Ali Hasan Jamali,28.34839,68.24703
Ali Hasan Khosa,28.32594,68.22987
Ali Jan Mena,31.00779,70.17246
Ali Janzai,28.87302,66.37213
Ali Khan,30.205,67.59937
Ali Khan Kili,30.90796,66.39326
Ali Khan Kili,30.91274,66.42485
