name,latitude,longitude
Ajra Kalle,34.3316,71.74589
Ajraw Kalle,34.37614,71.67618
Aju,34.76085,71.93159
Ajun Kalle,34.35024,71.7335
Ajun Kili,34.22289,71.90839
Ajun Koruna,34.22708,71.78117
Ak,35.03476,73.27706
Aka Khel Pungai,32.55632,69.9791
Akal Khel,33.81742,70.6449
Akar Khui,34.307,72.93921
Akarharal,34.36946,72.83834
Akarwala,33.07022,70.89486
Akashawa,33.44632,70.45423
Akbar Ali Khan,32.8491,70.74188
Akbar Ali Khan,32.98704,70.5916
Akbar Khan,34.27417,71.87
Akbar Khan,32.96752,70.69543
Akbar Khan,34.31454,71.8586
Akbar Khan,32.95879,70.49365
Akbar Khan Kalle,34.34488,71.74251
Akbar Khan Kalle,34.18272,71.8359
Akbar Khan Kalle,34.04409,71.5452
Akbar Khan Takhti Khel,32.83208,70.71881
Akbarabad,34.24929,72.03599
Akbarabad,34.14112,71.97928
Akbarabad,34.77145,72.37605
Akbarabad,34.16232,71.73615
Akbarabad,34.21333,71.97083
Akbari,32.35225,70.69973
Akbarpura,34.05797,71.7207
Akharah,34.19022,73.46266
Akheri Sero,35.52844,73.20798
Akhgram,34.92885,72.04268
Akhkak,33.82072,70.46058
Akhkarzai Dag,34.60873,71.26517
Akhlan Tirich,36.1827,71.43206
Akhma Din,32.95152,70.48218
Akhmad,31.82064,70.60578
Akhor,33.73288,71.50132
Akhora,34.28205,73.28082
Akhora,34.6104,73.39522
Akhori,34.64789,73.3699
Akhori,33.87563,72.93968
Akhori,34.64775,73.4588
Akhori,34.62811,73.36396
Akhori,35.4744,72.83876
Akhrila,34.21439,73.36509
Akhrila,34.13699,73.23944
Akhrila,34.4764,73.31211
Akhrojar,35.4354,73.6181
Akhruto,34.03706,73.32236
Akhtar Dherai,34.41778,71.6475
Akhtar Gata,34.87233,72.05587
Akhtar Kili,33.30318,70.53485
Akhtar Miān Kili,34.28389,71.71389
Akhtdrabad,33.89429,72.92607
Akhun Baba Banda,34.35323,72.27649
Akhun Baba Kalle,34.21894,72.05186
Akhun Baba Ziarat,34.6296,72.78067
Akhun Baba Ziarat,34.55364,71.05869
Akhun Baihk,34.74829,73.0266
Akhun Banda,34.60348,71.87544
Akhun Bandi,34.39799,72.92147
Akhun Dheri,34.271,71.76032
Akhun Jan,34.25781,71.87922
Akhun Kalle,34.77644,72.27768
Akhun Kot,33.66649,70.74128
Akhun Serai,34.18825,72.4909
Akhun di Bandi,34.00996,73.05913
Akhund Talao,33.8047,71.52636
Akhundabad,34.00156,71.5914
Akhundan,32.94556,70.94445
Akhundan,32.90138,70.60553
Akhundan,32.92617,70.64674
Akhundan,32.96523,70.59586
Akhundan,32.87763,70.65386
Akhundan Banda,32.85164,70.83388
Akhundan Kalle,32.93787,70.72913
Akhundan Kalle,32.95218,70.6254
Akhundzada,31.64219,70.40154
Akhundzadasar,34.8895,72.93662
Akhune Baba,33.94425,71.59802
Akhunzada Kile,34.34828,71.37861
Akhunzadgan,34.10441,72.184
Akhunābād Number Five,33.9997,71.5904
Akhunābād Number One,33.9981,71.5957
Akhunābād Number Three,33.9986,71.5926
Akhunābād Number Two,33.9995,71.5956
Akhurak,35.9075,71.53071
Akhurian Bela,34.66163,73.22938
Akhūn Dheri,34.07083,72.275
Akit Kili,33.01196,70.55939
Akka Khel,31.95615,70.84534
Aklar,34.68522,72.64824
Ako Dheri,34.37646,71.96898
Akoliar,33.98272,73.3025
Akor Banda,34.82413,72.84445
Akora,34.00337,72.12561
